"Date","Price","Open","High","Low","Vol.","Change %"
"01/01/2023","5,086.00","5,127.00","5,198.00","4,880.00","97.92K","1.44%"
"01/12/2022","5,014.00","5,508.00","5,789.00","4,847.00","441.54K","-8.97%"
"01/11/2022","5,508.00","5,700.00","5,858.00","5,056.00","394.61K","1.53%"
"01/10/2022","5,425.00","6,150.00","6,150.00","5,282.00","327.43K","-6.08%"
"01/09/2022","5,776.00","5,399.00","5,959.00","5,189.00","294.68K","10.52%"
"01/08/2022","5,226.00","5,076.00","5,399.00","4,870.00","385.43K","3.81%"
"01/07/2022","5,034.00","4,650.00","5,445.00","4,650.00","0.62K","2.07%"
"01/06/2022","4,932.00","5,600.00","5,700.00","4,732.00","308.13K","-10.31%"
"01/05/2022","5,499.00","5,810.00","5,867.00","5,047.00","125.06K","4.03%"
"01/04/2022","5,286.00","4,973.00","5,638.00","4,673.00","188.16K","6.29%"
"01/03/2022","4,973.00","5,845.00","6,199.00","4,758.00","182.25K","-8.23%"
"01/02/2022","5,419.00","5,050.00","5,893.00","4,646.00","305.10K","15.67%"
"01/01/2022","4,685.00","4,067.00","4,895.00","4,064.00","187.05K","13.36%"
"01/12/2021","4,133.00","4,698.00","4,748.00","3,917.00","249.71K","-6.00%"
"01/11/2021","4,397.00","4,122.00","4,638.00","4,122.00","7.06K","1.83%"
"01/10/2021","4,318.00","4,593.00","4,615.00","4,166.00","46.56K","-3.03%"
"01/09/2021","4,453.00","4,601.00","4,688.00","4,394.00","112.07K","1.14%"
"01/08/2021","4,403.00","4,500.00","4,575.00","4,301.00","89.61K","-1.70%"
"01/07/2021","4,479.00","4,354.00","4,658.00","4,220.00","26.92K","12.14%"
"01/06/2021","3,994.00","4,195.00","4,348.00","3,850.00","71.63K","-5.76%"
"01/05/2021","4,238.00","4,048.00","4,449.00","4,048.00","26.98K","4.62%"
"01/04/2021","4,051.00","4,328.00","4,860.00","3,954.00","19.24K","-6.07%"
"01/03/2021","4,313.00","4,780.00","4,830.00","4,095.00","9.50K","-4.69%"
"01/02/2021","4,525.00","4,348.00","4,770.00","4,120.00","41.26K","9.72%"
"01/01/2021","4,124.00","4,554.00","4,601.00","3,987.00","72.88K","-7.20%"
"01/12/2020","4,444.00","4,029.00","4,580.00","3,702.00","1.20K","12.42%"
"01/11/2020","3,953.00","3,569.00","4,066.00","3,385.00","34.92K","10.42%"
"01/10/2020","3,580.00","4,190.00","4,190.00","3,400.00","5.46K","-5.27%"
"01/09/2020","3,779.00","3,459.00","3,890.00","3,388.00","10.55K","16.85%"
"01/08/2020","3,234.00","3,390.00","3,494.00","3,038.00","11.10K","-1.37%"
"01/07/2020","3,279.00","2,802.00","3,425.00","2,802.00","6.40K","12.18%"
"01/06/2020","2,923.00","3,115.00","3,300.00","2,801.00","104.78K","0.34%"
"01/05/2020","2,913.00","2,686.00","3,005.00","2,605.00","75.45K","2.50%"
"01/04/2020","2,842.00","3,029.00","3,118.00","2,758.00","20.11K","-11.82%"
"01/03/2020","3,223.00","2,920.00","3,327.00","2,852.00","6.63K","10.11%"
"01/02/2020","2,927.00","3,040.00","3,060.00","2,660.00","17.62K","-4.53%"
"01/01/2020","3,066.00","3,483.00","3,483.00","3,005.00","1.10K","-17.25%"
"01/12/2019","3,705.00","2,970.00","3,787.00","2,970.00","5.85K","16.11%"
"01/11/2019","3,191.00","3,633.00","3,900.00","3,093.00","1.31K","-6.04%"
"01/10/2019","3,396.00","3,075.00","3,505.00","3,075.00","2.17K","10.44%"
"01/09/2019","3,075.00","3,855.00","3,900.00","2,935.00","5.68K","-7.52%"
"01/08/2019","3,325.00","2,792.00","3,429.00","2,792.00","4.87K","17.82%"
"01/07/2019","2,822.00","3,520.00","3,527.00","2,737.00","5.28K","-14.41%"
"01/06/2019","3,297.00","2,960.00","3,315.00","2,873.00","2.12K","8.03%"
"01/05/2019","3,052.00","2,610.00","3,216.00","2,519.00","4.72K","13.97%"
"01/04/2019","2,678.00","2,773.00","2,773.00","2,661.00","47.27K","-12.80%"
"01/03/2019","3,071.00","2,799.00","3,071.00","2,799.00","0.00K","9.72%"
"01/02/2019","2,799.00","3,017.00","3,017.00","2,799.00","0.00K","-3.12%"
"01/01/2019","2,889.00","2,692.00","3,314.00","2,632.00","0.98K","3.36%"
"01/12/2018","2,795.00","3,060.00","3,138.00","2,716.00","9.36K","-21.42%"
"01/11/2018","3,557.00","3,559.00","3,559.00","3,520.00","0.00K","-4.84%"
"01/10/2018","3,738.00","3,652.00","3,892.00","3,522.00","0.28K","27.97%"
"01/09/2018","2,921.00","3,060.00","3,060.00","2,883.00","0.11K","-12.18%"
"01/08/2018","3,326.00","3,390.00","3,409.00","3,122.00","85.24K","9.01%"
