"Date","Price","Open","High","Low","Vol.","Change %"
"12/01/2022","1,524.00","1,472.00","1,537.50","1,431.75","1.61M","3.71%"
"11/01/2022","1,469.50","1,417.00","1,478.50","1,406.75","93.20K","3.52%"
"10/01/2022","1,419.50","1,362.38","1,424.00","1,350.00","","4.01%"
"09/01/2022","1,364.75","1,511.25","1,558.25","1,363.25","1.30M","-4.06%"
"08/01/2022","1,422.50","1,477.25","1,484.38","1,356.00","100.44K","-3.13%"
"07/01/2022","1,468.50","1,563.88","1,573.25","1,314.50","121.32K","-5.90%"
"06/01/2022","1,560.50","1,686.88","1,783.62","1,504.12","84.65K","-7.50%"
"05/01/2022","1,687.00","1,684.12","1,749.38","1,578.00","93.35K","0.13%"
"04/01/2022","1,684.75","1,600.00","1,734.00","1,560.50","1.57M","4.11%"
"03/01/2022","1,618.25","1,645.25","1,736.25","1,613.50","","-1.58%"
"02/01/2022","1,644.25","1,489.62","1,758.88","1,485.00","107.15K","10.32%"
"01/01/2022","1,490.50","1,340.88","1,496.75","1,340.62","0.04K","12.17%"
"12/01/2021","1,328.75","1,222.00","1,375.75","1,216.25","1.88M","9.16%"
"11/01/2021","1,217.25","1,248.38","1,289.12","1,181.62","72.91K","-1.50%"
"10/01/2021","1,235.75","1,255.00","1,262.50","1,184.50","2.51M","-1.69%"
"09/01/2021","1,257.00","1,294.00","1,308.00","1,249.12","","-2.82%"
"08/01/2021","1,293.50","1,350.12","1,379.75","1,277.62","","-4.07%"
"07/01/2021","1,348.38","1,402.50","1,422.88","1,300.62","","-3.24%"
"06/01/2021","1,393.50","1,543.62","1,623.00","1,268.25","","-8.83%"
"05/01/2021","1,528.50","1,547.75","1,667.12","1,489.75","","-0.46%"
"04/01/2021","1,535.62","1,447.25","1,574.75","1,378.50","","6.88%"
"03/01/2021","1,436.75","1,415.25","1,459.88","1,364.25","","2.05%"
"02/01/2021","1,407.88","1,376.50","1,445.75","1,338.12","","3.19%"
"01/01/2021","1,364.38","1,310.25","1,436.25","1,298.25","","4.13%"
